"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"maximal_preservative","swap_mutation",0.1,0.1,0.6,-10206.4499238278,"14|13|47|23|17|3|41|8|19|45|36|35|34|1|22|31|18|32|49|39|5|6|4|25|28|27|26|24|48|44|50|20|21|42|7|2|30|29|16|46|37|40|38|15|43|10|9|33|51|12|11|52"
"maximal_preservative","swap_mutation",0.1,0.1,0.9,-10215.81081188,"2|17|3|45|19|18|32|49|1|31|21|23|30|29|16|50|20|22|8|10|9|41|43|15|39|34|35|36|40|38|37|46|48|24|5|6|4|33|11|51|12|28|27|13|52|14|47|26|25|44|42|7"
"maximal_preservative","swap_mutation",0.1,0.1,0.8,-8721.08854050894,"27|26|28|12|33|43|10|9|8|41|19|45|31|21|42|2|7|17|3|18|22|23|30|20|50|29|16|44|1|32|49|36|35|34|39|40|37|38|48|24|5|15|6|4|25|46|47|14|13|52|11|51"
"maximal_preservative","swap_mutation",0.1,0.3,0.6,-10417.6954025755,"23|44|13|14|47|29|30|42|7|2|21|17|3|8|41|32|49|35|36|39|34|16|46|48|24|15|6|4|33|51|11|52|27|26|28|12|25|5|38|37|40|43|10|9|19|45|18|1|22|31|50|20"
"maximal_preservative","swap_mutation",0.1,0.3,0.9,-11061.8081545373,"12|51|30|7|2|42|45|43|33|11|52|14|13|20|23|21|17|3|31|18|32|1|22|49|19|41|8|9|10|40|35|34|36|39|37|48|5|24|38|15|6|25|4|46|44|16|50|29|47|26|27|28"
"maximal_preservative","swap_mutation",0.1,0.3,0.8,-10432.8248156606,"27|13|52|14|47|26|28|25|43|9|8|41|19|45|12|11|51|33|10|22|18|31|21|30|2|7|42|17|3|32|49|1|35|46|50|20|23|29|16|44|36|34|39|37|38|40|48|24|5|15|6|4"
"maximal_preservative","swap_mutation",0.1,0.2,0.6,-8718.90466439975,"10|9|8|17|7|2|42|30|21|31|23|20|50|29|16|44|34|35|1|22|18|3|41|19|45|32|49|36|39|40|37|38|48|24|5|15|6|4|25|46|26|47|14|13|52|11|27|28|12|51|33|43"
"maximal_preservative","swap_mutation",0.1,0.2,0.9,-10848.7129134098,"8|9|10|49|22|50|20|44|16|46|34|43|33|11|51|12|25|5|24|48|15|6|37|38|40|39|35|36|45|32|1|31|18|21|23|7|2|42|30|29|26|47|14|52|13|27|28|4|19|41|3|17"
"maximal_preservative","swap_mutation",0.1,0.2,0.8,-9394.08450482804,"25|12|51|11|52|14|13|47|26|27|28|16|29|50|20|30|2|7|42|3|41|8|19|37|40|38|6|4|43|33|10|9|45|32|22|23|21|17|18|31|1|49|36|39|35|34|44|46|48|24|15|5"
"maximal_preservative","swap_mutation",0.2,0.1,0.6,-9153.11528628227,"10|9|8|41|19|42|2|7|17|3|45|33|51|12|11|52|14|13|27|28|26|47|29|30|21|1|49|32|22|18|31|23|20|50|16|46|44|34|35|36|39|40|37|38|48|24|5|15|6|25|4|43"
