"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"cycle","swap_mutation",0.1,0.1,0.9,-9846.81248777235,"33|10|9|8|41|19|32|49|1|22|31|23|20|30|2|7|42|21|37|48|24|5|38|40|39|44|16|50|29|47|14|52|13|26|46|34|35|36|18|17|3|45|43|15|6|4|25|12|28|27|11|51"
"cycle","swap_mutation",0.1,0.1,0.6,-10026.9997072147,"40|39|36|35|34|44|16|46|26|28|27|13|14|47|29|50|20|23|21|17|42|7|2|30|48|24|4|6|22|31|18|3|41|9|10|8|19|45|32|1|49|37|25|12|52|11|51|33|43|5|15|38"
"cycle","swap_mutation",0.1,0.1,0.8,-10063.4281438477,"42|44|37|38|6|4|28|27|26|47|14|52|13|48|24|5|15|43|33|51|11|12|25|46|16|29|50|20|30|23|1|22|31|18|45|32|49|35|34|36|39|40|10|9|8|41|19|3|21|17|7|2"
"cycle","swap_mutation",0.1,0.2,0.9,-9355.73047073559,"47|26|27|28|25|48|24|5|38|37|40|39|36|35|34|44|23|21|42|2|7|17|3|18|31|22|32|45|19|41|8|9|10|15|6|4|12|51|33|43|49|1|50|20|30|29|16|46|11|52|13|14"
"cycle","swap_mutation",0.1,0.2,0.6,-10032.4902082666,"2|7|42|17|22|35|6|25|26|13|14|47|29|16|46|15|43|33|51|11|52|27|28|12|4|5|40|34|1|23|21|31|18|3|41|8|9|10|19|45|32|49|36|39|38|24|48|37|44|50|20|30"
"cycle","swap_mutation",0.1,0.2,0.8,-9489.29671617239,"20|23|31|22|1|35|36|39|37|40|38|48|24|5|15|6|4|25|26|13|27|28|12|43|33|51|11|52|14|47|45|19|10|9|8|41|3|17|7|2|42|30|21|18|32|49|34|44|46|16|29|50"
"cycle","swap_mutation",0.1,0.3,0.9,-10308.766168078,"19|3|22|18|1|36|49|32|45|8|41|17|2|7|42|16|51|11|52|14|13|47|29|30|21|31|23|20|50|44|34|35|39|40|38|37|46|26|27|28|12|25|4|6|48|24|5|15|43|33|10|9"
"cycle","swap_mutation",0.1,0.3,0.6,-9220.1584909839,"51|33|43|4|6|15|5|24|48|38|10|9|8|41|19|45|32|49|35|34|37|40|39|36|1|22|3|17|42|7|2|30|21|18|31|23|20|50|29|47|26|28|27|13|14|52|11|12|16|44|46|25"
"cycle","swap_mutation",0.1,0.3,0.8,-9411.71772620818,"25|4|6|15|38|49|18|3|41|8|33|51|11|52|14|13|27|47|26|28|12|37|35|36|32|45|19|9|10|43|40|39|34|44|50|20|23|1|22|31|21|17|42|7|2|30|29|16|46|48|24|5"
"cycle","swap_mutation",0.2,0.1,0.9,-10425.4610597155,"12|25|5|15|43|33|51|4|6|24|37|44|16|46|26|13|27|28|48|39|49|18|3|17|21|23|20|50|32|45|19|41|8|9|10|38|40|34|35|36|1|22|31|42|7|2|30|29|47|14|52|11"
"cycle","swap_mutation",0.2,0.1,0.6,-10027.0453222536,"50|29|47|13|14|52|11|51|4|6|15|5|25|46|20|30|2|7|42|21|23|45|19|8|41|3|18|32|49|36|37|48|24|38|40|39|35|34|44|1|22|31|17|9|10|43|33|12|28|27|26|16"
"cycle","swap_mutation",0.2,0.1,0.8,-9979.14262935504,"49|36|39|40|37|38|15|43|10|9|8|41|3|17|23|50|16|46|44|34|35|1|22|21|42|7|2|30|47|14|52|11|51|33|4|6|5|24|48|25|12|28|27|13|26|29|20|31|18|19|45|32"
"cycle","swap_mutation",0.2,0.2,0.9,-9517.18241191119,"29|30|2|7|42|21|31|22|49|1|23|20|50|16|44|34|45|19|41|8|9|10|33|43|4|25|12|13|14|52|11|51|6|15|5|24|48|38|37|40|39|36|35|32|3|17|18|46|28|27|26|47"
"cycle","swap_mutation",0.2,0.2,0.6,-11251.4352784546,"37|48|24|12|28|27|13|51|4|40|49|32|45|19|41|8|43|33|11|52|14|30|2|7|42|21|31|22|1|44|34|35|36|39|10|9|3|17|18|23|20|50|29|16|46|47|26|25|6|15|5|38"
"cycle","swap_mutation",0.2,0.2,0.8,-10379.3554090823,"47|13|14|52|11|33|43|45|39|40|38|15|5|44|30|2|7|42|21|19|8|10|9|41|23|20|50|29|16|46|25|12|51|4|6|32|3|17|31|18|22|1|49|36|35|34|37|48|24|28|27|26"
"cycle","swap_mutation",0.2,0.3,0.9,-9910.5031762645,"21|17|8|9|10|43|15|6|5|24|48|44|20|50|16|46|12|11|51|33|4|25|28|27|13|52|14|26|47|29|30|2|7|42|23|36|39|40|38|37|34|35|49|32|45|19|41|3|18|22|1|31"
"cycle","swap_mutation",0.2,0.3,0.6,-10205.8324524335,"10|9|8|41|3|17|7|2|42|30|21|31|22|1|34|37|38|15|6|4|33|43|40|39|36|35|49|32|45|19|18|44|16|26|13|27|28|46|48|24|5|25|12|51|11|52|14|47|29|50|20|23"
"cycle","swap_mutation",0.2,0.3,0.8,-10796.194822271,"46|48|24|6|5|15|49|32|3|9|10|33|51|12|11|28|27|26|25|4|43|8|41|19|45|36|39|40|38|37|34|35|1|18|17|31|22|13|52|14|47|16|29|30|2|7|42|21|23|20|50|44"
"cycle","swap_mutation",0.3,0.1,0.9,-9875.74658332178,"51|33|43|32|49|1|22|31|23|30|29|20|50|48|24|5|15|6|4|25|46|16|44|45|19|10|9|8|41|17|7|2|42|21|3|18|39|40|38|37|36|35|34|27|13|11|52|14|47|26|28|12"
"cycle","swap_mutation",0.3,0.1,0.6,-10058.8728920541,"36|35|44|34|39|40|37|38|24|48|46|47|26|28|25|6|5|15|43|33|4|12|27|13|14|52|11|51|16|29|50|20|23|21|17|3|18|32|49|1|22|31|30|2|7|42|41|8|9|10|19|45"
"cycle","swap_mutation",0.3,0.1,0.8,-10373.3469558303,"31|22|25|12|28|27|26|47|16|46|48|38|40|39|37|44|50|20|1|34|35|36|49|32|45|19|33|51|11|52|14|13|29|30|21|17|7|2|42|23|24|5|15|6|4|43|10|9|8|41|3|18"
"cycle","swap_mutation",0.3,0.2,0.9,-9844.27067896838,"38|37|44|50|20|23|21|31|32|49|35|34|40|39|36|1|22|18|3|17|7|2|42|30|29|12|51|11|52|14|47|16|46|48|24|5|6|4|25|26|13|27|28|33|10|9|8|41|19|45|43|15"
"cycle","swap_mutation",0.3,0.2,0.6,-10306.5343036111,"13|14|47|46|34|35|44|16|29|50|20|23|1|22|31|18|3|17|42|7|2|30|21|49|36|40|39|32|19|41|45|37|38|48|24|5|15|43|8|9|10|33|28|27|52|11|51|12|4|6|25|26"
"cycle","swap_mutation",0.3,0.2,0.8,-10026.6520817066,"35|34|44|16|50|20|30|23|22|1|36|37|25|12|51|11|13|27|26|28|46|48|24|15|5|6|4|38|40|39|31|21|17|7|2|42|29|47|14|52|33|43|10|9|8|41|19|45|3|18|32|49"
"cycle","swap_mutation",0.3,0.3,0.9,-10262.1221545152,"49|1|20|50|29|16|44|37|48|24|5|38|40|39|23|42|7|2|30|47|27|11|52|14|13|26|28|46|34|35|22|31|21|17|3|18|36|25|12|51|33|4|6|15|43|10|9|8|41|19|45|32"
"cycle","swap_mutation",0.3,0.3,0.6,-9768.10400857598,"15|24|46|29|30|2|7|42|21|17|3|18|32|49|43|33|51|12|11|52|14|13|27|28|48|37|36|35|34|44|50|20|23|31|22|1|16|47|26|25|4|6|5|38|40|39|45|19|41|8|9|10"
