"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"adaptive_greedy_subpath","swap_mutation",0.1,0.1,0.9,-7548.99271002418,"12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|38|37|48|24|5|15|6|4|25"
"adaptive_greedy_subpath","swap_mutation",0.1,0.1,0.6,-7724.54123962804,"12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|44|34|35|36|39|40|38|37|48|24|5|15|6|4|25|46"
"adaptive_greedy_subpath","swap_mutation",0.1,0.1,0.8,-7548.99271002418,"29|16|46|44|34|35|36|39|40|38|37|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50"
"adaptive_greedy_subpath","swap_mutation",0.1,0.2,0.9,-7548.99271002418,"12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|38|37|48|24|5|15|6|4|25"
"adaptive_greedy_subpath","swap_mutation",0.1,0.2,0.6,-7548.99271002418,"27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|38|37|48|24|5|15|6|4|25|12|28"
"adaptive_greedy_subpath","swap_mutation",0.1,0.2,0.8,-7544.36590190409,"30|23|20|50|29|16|46|44|34|35|36|39|40|37|38|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2"
"adaptive_greedy_subpath","swap_mutation",0.1,0.3,0.9,-7548.99271002418,"25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|38|37|48|24|5|15|6|4"
"adaptive_greedy_subpath","swap_mutation",0.1,0.3,0.6,-7544.36590190409,"26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|37|38|48|24|5|15|6|4|25|12|28|27"
"adaptive_greedy_subpath","swap_mutation",0.1,0.3,0.8,-7548.99271002418,"6|27|4|26|25|47|12|13|28|14|27|52|26|11|47|51|13|33|14|43|52|10|11|9|51|8|33|41|43|19|10|45|9|32|8|49|41|1|19|22|45|31|32|18|49|3|1|17|22|21|31|42|18|7|3|2|17|30|21|23|42|20|7|50|2|29|30|16|23|46|20|44|50|34|29|35|16|36|46|39|44|40|34|38|35|37|36|48|39|24|40|5|38|15|37|6|48|4|24|25|5|12|15|28"
"adaptive_greedy_subpath","swap_mutation",0.2,0.1,0.9,-7548.99271002418,"52|34|24|35|11|35|5|36|51|36|15|39|33|39|6|40|43|40|4|38|10|38|25|37|9|37|12|48|8|48|28|24|41|24|27|5|19|5|26|15|45|15|47|6|32|6|13|4|49|4|14|25|1|25|52|12|22|12|11|28|31|28|51|27|18|27|33|26|3|26|43|47|17|47|10|13|21|13|9|14|42|14|8|52|7|52|41|11|2|11|19|51|30|51|45|33|23|33|32|43|20|43|49|10|50|10|1|9|29|9|22|8|16|8|31|41|46|41|18|19|44|19|3|45|34|45|17|32|35|32|21|49|36|49|42|1|39|1|7|22|40|22|2|31|38|31|30|18|37|18|23|3|48|3|20|17|24|17|50|21|5|21|29|42|15|42|16|7|6|7|46|2|4|2|44|30|25|30|34|23|12|23|35|20|28|20|36|50|27|50|39|29|26|29|40|16|47|16|38|46|13|46|37|44|14|44|48|34"
