"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"order","swap_mutation",0,0.1,0.6,-19028.8603872207,"16|34|1|41|18|7|42|23|29|30|31|3|8|6|35|21|2|17|20|24|39|28|27|51|52|33|25|19|10|37|22|49|46|26|14|47|38|40|44|43|32|4|15|48|12|13|11|5|9|45|36|50"
"order","swap_mutation",0,0.1,0.8,-17605.1105640506,"24|15|31|3|29|28|38|19|18|25|34|7|2|42|20|32|10|43|48|23|39|1|49|37|46|33|4|47|30|21|45|41|9|8|5|16|50|35|36|22|17|40|12|51|11|52|13|14|26|27|44|6"
"order","swap_mutation",0,0.1,0.9,-15836.5597243444,"15|6|25|14|52|11|51|10|18|22|21|17|2|7|30|16|49|42|34|24|35|36|44|29|20|50|1|23|12|26|4|32|19|3|8|9|41|45|31|5|43|33|46|27|47|13|28|40|39|37|48|38"
"order","swap_mutation",0,0.2,0.6,-16827.2452859701,"38|23|17|3|19|37|49|36|44|30|21|7|42|2|32|45|48|11|12|26|27|13|52|14|35|46|15|39|5|6|33|51|43|22|31|20|34|40|29|24|1|41|18|8|9|10|50|16|47|25|4|28"
"order","swap_mutation",0,0.2,0.8,-18502.0399956049,"24|51|6|37|39|41|19|26|11|20|13|52|14|28|47|29|34|4|36|35|32|45|9|10|38|30|2|17|21|31|48|12|16|27|25|5|15|23|7|42|18|22|46|44|43|33|8|3|49|1|50|40"
"order","swap_mutation",0,0.2,0.9,-18715.2950093213,"6|26|47|33|10|32|4|24|25|14|11|51|34|40|20|22|8|45|15|5|38|48|7|2|42|23|46|44|1|29|16|52|28|12|13|27|43|39|21|30|9|19|3|17|49|36|37|31|50|35|41|18"
"order","swap_mutation",0,0.3,0.6,-17126.7080297581,"19|39|37|32|22|1|6|48|36|18|45|31|7|2|21|35|34|49|44|50|42|23|29|46|25|47|26|4|40|20|16|30|8|9|10|17|43|33|51|5|41|3|15|28|27|12|38|24|13|14|52|11"
"order","swap_mutation",0,0.3,0.8,-17811.8175390455,"32|3|9|43|15|6|29|13|51|2|42|7|49|44|24|39|31|18|45|19|8|41|38|5|37|16|34|1|30|50|23|27|26|47|52|14|11|36|46|21|20|22|10|33|4|12|28|25|17|35|48|40"
"order","swap_mutation",0,0.3,0.9,-16698.5378028932,"18|36|48|12|51|11|52|26|27|46|16|28|13|25|37|5|39|10|8|45|32|1|50|29|4|33|6|43|19|41|9|44|23|47|14|15|3|30|35|34|20|17|21|7|2|42|24|38|40|31|49|22"
"order","swap_mutation",0.1,0.1,0.6,-8783.1216589802,"4|25|6|15|5|24|48|38|39|34|35|36|31|21|23|20|16|46|12|28|27|26|47|14|13|52|11|51|33|43|40|37|44|50|29|30|42|2|7|17|3|18|22|1|49|32|45|19|41|8|9|10"
"order","swap_mutation",0.1,0.1,0.8,-8953.31133294883,"10|9|8|41|19|45|43|33|51|12|4|6|15|5|37|34|35|36|49|32|18|3|17|21|42|7|2|30|50|20|23|31|22|1|44|16|29|47|26|27|13|14|52|11|28|25|46|48|24|38|40|39"
"order","swap_mutation",0.1,0.1,0.9,-9738.24107706398,"41|8|9|10|19|45|5|4|28|27|26|47|13|14|52|11|12|25|50|22|1|32|49|35|36|39|40|38|37|48|24|15|6|51|33|43|34|44|46|16|29|30|20|23|31|18|21|42|2|7|17|3"
"order","swap_mutation",0.1,0.2,0.6,-9055.3193153557,"12|11|52|14|13|27|28|26|47|29|16|44|34|37|38|40|39|35|36|49|32|1|31|21|17|42|7|2|30|23|20|50|48|24|5|45|19|10|9|8|41|3|18|22|46|25|4|6|15|43|33|51"
