"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"partially_matched","swap_mutation",0.1,0.1,0.6,-10306.1915526881,"2|7|42|21|17|3|19|45|18|31|22|49|39|15|4|51|11|52|12|25|6|5|44|16|46|26|28|27|13|14|47|29|50|20|32|43|33|10|9|8|41|40|38|24|48|37|34|35|36|1|23|30"
"partially_matched","swap_mutation",0.1,0.1,0.8,-9500.71367733887,"42|2|7|17|3|19|45|32|22|1|49|35|36|41|8|9|10|43|33|27|13|14|52|11|51|12|4|6|15|5|24|48|38|40|39|18|31|21|23|29|47|26|28|25|46|37|34|44|16|50|20|30"
"partially_matched","swap_mutation",0.1,0.1,0.9,-9481.01046387803,"40|38|48|46|25|4|6|24|5|15|43|10|9|8|41|19|18|22|1|32|49|36|39|45|31|21|23|20|50|30|2|7|42|17|3|33|51|11|12|28|27|13|52|14|26|47|29|16|44|34|35|37"
"partially_matched","swap_mutation",0.1,0.2,0.6,-10009.5613548645,"39|37|5|24|48|47|26|28|12|51|25|46|16|29|50|20|30|23|10|9|8|41|19|45|18|32|49|36|35|34|44|1|22|31|21|42|2|7|17|3|43|33|11|52|14|13|27|4|6|15|38|40"
"partially_matched","swap_mutation",0.1,0.2,0.8,-10329.1427165577,"18|31|23|42|2|7|30|29|16|37|48|24|10|9|8|41|19|43|33|51|12|28|27|46|44|34|35|36|39|49|32|45|3|17|21|20|50|11|52|14|13|47|26|25|4|6|15|5|38|40|1|22"
"partially_matched","swap_mutation",0.1,0.2,0.9,-10555.2100163813,"30|23|22|1|34|35|36|39|40|37|38|48|24|5|15|8|9|10|33|43|4|26|13|27|28|12|25|6|44|16|46|51|11|52|14|47|29|42|2|7|17|41|19|45|32|49|50|20|31|18|3|21"
"partially_matched","swap_mutation",0.1,0.3,0.6,-9837.18764019097,"29|50|20|30|23|1|22|18|31|21|42|2|7|17|3|43|33|11|52|14|13|51|4|6|15|5|24|48|38|10|9|8|41|19|45|46|47|26|27|28|12|25|37|40|39|32|49|36|35|34|44|16"
"partially_matched","swap_mutation",0.1,0.3,0.8,-10661.8140716391,"3|32|18|20|50|29|16|44|34|49|35|36|39|40|37|38|8|9|10|43|26|27|28|12|25|6|5|15|45|19|41|46|47|14|13|52|11|51|33|4|24|48|1|22|31|23|30|2|7|42|21|17"
"partially_matched","swap_mutation",0.1,0.3,0.9,-10622.509503723,"6|28|27|13|47|26|12|25|48|24|46|44|34|35|37|38|43|10|9|3|18|21|17|42|7|2|30|29|20|23|31|22|50|16|14|52|11|51|33|4|15|8|41|19|45|32|1|49|36|39|40|5"
"partially_matched","swap_mutation",0.2,0.1,0.6,-9849.16907914583,"36|49|32|22|23|30|29|47|26|28|25|46|16|50|20|44|34|35|37|27|13|14|52|11|12|1|31|21|42|2|7|17|3|18|45|19|41|8|9|10|43|33|51|4|6|15|5|24|48|38|40|39"
"partially_matched","swap_mutation",0.2,0.1,0.8,-9999.50424954778,"6|15|38|40|39|35|36|10|9|8|41|19|45|32|49|43|33|51|11|52|27|28|16|50|20|23|34|37|4|25|12|13|14|47|26|44|1|22|31|18|3|17|21|42|7|2|30|29|46|48|24|5"
"partially_matched","swap_mutation",0.2,0.1,0.9,-9574.79897480108,"35|34|23|20|50|29|30|42|2|7|17|21|31|18|3|19|45|32|22|1|49|37|4|51|11|52|14|13|47|16|44|41|8|9|10|43|33|12|28|27|26|46|25|6|15|5|24|48|38|40|39|36"
"partially_matched","swap_mutation",0.2,0.2,0.6,-10041.730362495,"32|18|3|17|7|2|42|21|30|29|47|26|27|28|12|11|51|33|43|44|34|52|14|13|25|4|6|24|48|46|16|50|20|23|31|22|1|45|19|41|8|9|10|15|5|38|37|40|39|35|36|49"
"partially_matched","swap_mutation",0.2,0.2,0.8,-9987.17575175748,"19|32|22|1|34|35|36|39|40|38|24|48|44|16|50|20|30|2|7|42|21|18|49|43|33|10|9|3|17|31|23|29|47|13|14|52|11|51|12|4|15|5|6|25|28|27|26|46|37|45|8|41"
